rank,id,title,rating,rating_count,comprehensive_score,kind,url,source_doulist_ids,source_doulists,crawled_at
45,1291552,指环王3：王者无敌 The Lord of the Rings: The Return of the King,9.3,919368,93.373804,电影,https://movie.douban.com/subject/1291552/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
46,30468961,想见你 想見你,9.3,904308,93.261492,电视剧,https://movie.douban.com/subject/30468961/,46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
47,1393859,老友记 第一季 Friends Season 1,9.7,413393,93.111509,电视剧,https://movie.douban.com/subject/1393859/,172901 / 46375658 / 644440,9分电视剧 / 豆瓣五星电视剧（1/2） / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
48,2156663,西游记,9.7,413118,93.106718,电视剧,https://movie.douban.com/subject/2156663/,172901 / 46375658 / 644440,9分电视剧 / 豆瓣五星电视剧（1/2） / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
49,3986493,神探夏洛克 第一季 Sherlock Season 1,9.5,587587,92.986457,电视剧,https://movie.douban.com/subject/3986493/,172901 / 46375658,豆瓣五星电视剧（1/2） / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
50,1308807,哈尔的移动城堡 ハウルの動く城,9.1,1306768,92.948245,动画电影 / 电影,https://movie.douban.com/subject/1308807/,223781 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分动画长片,2026-08-09T16:52:13+08:00
51,1291583,天空之城 天空の城ラピュタ,9.2,1017956,92.683159,动画电影 / 电影,https://movie.douban.com/subject/1291583/,223781 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分动画长片,2026-08-09T16:52:13+08:00
52,6522269,神探夏洛克  第二季 Sherlock Season 2,9.6,460726,92.587967,电视剧,https://movie.douban.com/subject/6522269/,46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
53,27060077,绿皮书 Green Book,8.9,1911475,92.565669,电影,https://movie.douban.com/subject/27060077/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
54,30401122,致命女人 第一季 Why Women Kill Season 1,9.4,666728,92.529948,电视剧,https://movie.douban.com/subject/30401122/,46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
55,1305487,猫鼠游戏 Catch Me If You Can,9.1,1224791,92.520653,电影,https://movie.douban.com/subject/1305487/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
56,1300267,乱世佳人 Gone with the Wind,9.3,804573,92.466855,电影,https://movie.douban.com/subject/1300267/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
57,25958717,海蒂和爷爷 Heidi,9.3,795886,92.393036,电影,https://movie.douban.com/subject/25958717/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
58,21937452,素媛 소원,9.3,783058,92.282542,电影,https://movie.douban.com/subject/21937452/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
59,30170448,何以为家 كفرناحوم,9.1,1170392,92.220805,电影,https://movie.douban.com/subject/30170448/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
60,1296736,钢琴家 The Pianist,9.3,757621,92.057982,电影,https://movie.douban.com/subject/1296736/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
61,3016187,权力的游戏 第一季 Game of Thrones Season 1,9.5,503078,91.899504,电视剧,https://movie.douban.com/subject/3016187/,430230 / 46375658,豆瓣五星电视剧（2/2） / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
62,1299398,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,9.0,1379092,91.890083,电影,https://movie.douban.com/subject/1299398/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
63,1291548,死亡诗社 Dead Poets Society,9.2,895549,91.824788,电影,https://movie.douban.com/subject/1291548/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
